Latitude,Longitude,DateTime,N_res,E_res,C_res,TotalPoints,Minimum_Distance,Average_Distance,N,E,C,H,D,F,I
70.85471700000001,68.307333,2014-09-08 05:54:00,-14.993330009307893,7.097887034510375,2.7374311207539805,24,459.0376339008134,621.3170675799232,6948.87811279017,3848.3164490733825,57704.851845487174,7943.327169305256,28.97785909461869,58249.003193430246,82.16224095171913
70.8303,67.97505,2014-09-08 06:10:00,-14.641425744276194,6.6339027693498736,2.777449491824326,24,451.30048679452324,621.7498798913372,6985.748606648406,3865.5436019298418,57657.23319187408,7983.928289614761,28.957820651301144,58207.38484312671,82.11625705918154
70.761717,67.75241700000001,2014-09-08 06:26:00,-14.171211221402054,6.038793679949213,2.8227540756520897,24,449.951494042971,622.840599670575,7033.205734329372,3878.348668025998,57624.77796668326,8031.660556334698,28.87383524489033,58181.806494829005,82.06531207650761
70.68651700000001,67.561983,2014-09-08 06:42:00,-13.613031294464154,5.453029408683918,2.8469210718077242,24,450.1876118534931,624.1122996245222,7080.834506063724,3889.295760399336,57597.39227626375,8078.66565802317,28.77870781450668,58161.1935558404,82.01572552784732
70.68545,67.548317,2014-09-08 07:14:00,-12.669295861368816,4.684420336740942,2.8404558250956984,24,449.89162281563154,624.1400921605639,7083.27697606801,3889.1783509271236,57595.39415418688,8080.750024905819,28.769640740004093,58159.50437152263,82.0134186011329
70.68575,67.549433,2014-09-08 07:30:00,-12.059958251236482,4.5417277144559645,2.7508626950107593,24,449.90000960275023,624.1345026183529,7083.67157169132,3888.9749094178046,57595.463629538935,8080.998006537868,28.767029823627094,58159.60762834642,82.01318618185515
70.690333,67.53098299999999,2014-09-08 07:46:00,-11.324234999073656,4.665327897677861,2.5715006214109937,24,449.0542540674918,624.0786243711693,7083.825707749411,3889.7564972014034,57592.53508220536,8081.509281396141,28.771361293648823,58156.77853406555,82.01228647882495
70.692683,67.506233,2014-09-08 08:03:00,-10.37722755226658,5.0730677573653145,2.2804604513830613,24,448.2013015984295,624.0631984612049,7085.640274557407,3891.175920481084,57588.59153275747,8083.7830342335255,28.77398951698168,58153.189275149365,82.00952806622207
70.692533,67.506167,2014-09-08 08:34:00,-8.3123122015705,6.319884082502401,1.5603488303770758,24,448.21061180665606,624.0655777353077,7087.773446514801,3892.43115805799,57587.85880796138,8086.257029636207,28.7745098303653,58152.80762641676,82.00701384308552
70.692583,67.506383,2014-09-08 08:50:00,-7.180151482226934,7.068231258004743,1.150750569700703,24,448.21282744089785,624.0646181379487,7088.866711810244,3893.168127162298,57587.47804225854,8087.570050649563,28.775357910607966,58152.613153595885,82.00568057027591
70.695017,67.501633,2014-09-08 09:37:00,-4.673026860205586,8.829633207972048,0.2189495853729586,24,447.90217441313115,624.0310495209674,7090.6833906168,3895.0496582136284,57585.821842416604,8090.06815706265,28.780844384968972,58151.32053575795,82.0030161894974
70.69385,67.498917,2014-09-08 09:54:00,-4.257935644947712,9.23479552613021,0.03510836832762987,24,447.914207831691,624.0514371001212,7091.80855127511,3895.6175803582987,57585.24935394251,8091.327756328712,28.780533132328205,58150.92886632226,82.00170870856346
70.692667,67.5058,2014-09-08 13:53:00,0.0,0.0,0.0,0,,,7096.052569177962,3886.12256863265,57586.22591401949,8090.4827224939545,28.707126631173608,58151.77835374825,82.00266708599102
70.692667,67.505883,2014-09-08 14:09:00,0.0,0.0,0.0,0,,,7096.046248128855,3886.1189021313235,57586.23808727632,8090.475417247491,28.707125359036905,58151.78939225825,82.00267588239939
70.692617,67.506,2014-09-08 14:25:00,0.0,0.0,0.0,0,,,7096.058920208863,3886.1155688525077,57586.25571497673,8090.484930679596,28.7070615486323,58151.80817209594,82.00266901655526
70.69275,67.505883,2014-09-08 14:41:00,0.0,0.0,0.0,0,,,7096.010421832607,3886.115855115771,57586.237311323326,8090.442530921232,28.707228301960825,58151.78404848974,82.0027078631406
70.69435,67.511617,2014-09-08 15:13:00,-5.85525893577845,-12.171639419820272,3.5383475373119135,15,374.288899596256,663.7201989561564,7089.035267597076,3873.631971137796,57590.61409011656,8078.331862027954,28.653331977355087,58154.43471438604,82.01512360976379
70.69365,67.50905,2014-09-08 15:29:00,-5.9368910105348665,-12.40078252612896,3.5679144681923485,15,374.37218764912353,663.7796638165953,7089.451363536301,3873.5420663816635,57590.27380837861,8078.65389628588,28.651357380097615,58154.14246723955,82.01476283346801
70.693467,67.51125,2014-09-08 15:45:00,-6.033221270132149,-12.662562242281448,3.6015537633271233,15,374.28930453497463,663.7313973542254,7089.266549720419,3873.189719402679,57590.631958100916,8078.32277242445,28.649792844663416,58154.451146484964,82.01513492375494
70.69345,67.51,2014-09-08 16:01:00,-6.146683698893417,-12.961986368478376,3.639832815860782,15,374.334622054035,663.7592384502605,7089.255700522882,3872.9462052060576,57590.4873294493,8078.196500198307,28.648314040704946,58154.29037946621,82.01523833171306
70.69363299999999,67.510767,2014-09-08 16:33:00,-1.329541165583091,-17.784875857509792,5.161365245235458,18,374.3093481460938,703.5318171073613,7093.9386212510635,3868.0826750826095,57592.10952296,8079.977026164844,28.60212787448861,58156.144198596696,82.01372315845435
70.69358299999999,67.5095,2014-09-08 16:49:00,0.622531945464301,-24.99426786086095,2.7446327118408775,27,374.3548004233906,677.6213962795972,7096.003688953092,3860.931147713508,57589.5033550802,8078.3697415394545,28.550583952022038,58153.34001040537,82.01493463188169
70.6936,67.50975,2014-09-08 17:05:00,0.24152821777623684,-25.082730804965134,2.7793896204691917,27,374.3459365856248,677.6212166651544,7095.596380735895,3860.8310066141867,57589.57541773647,8077.96410365544,28.55134078124087,58153.35502664574,82.01534027592545
70.69363299999999,67.5097,2014-09-08 17:38:00,-0.633416015188119,-25.428416258350435,2.858106948114671,27,374.3482435832835,677.6208483348126,7094.71116736389,3860.486319805206,57589.648336809536,8077.021800993299,28.55219425737233,58153.29635309687,82.01626966262265
70.69365,67.50965,2014-09-08 17:53:00,-1.0426598295232385,-25.675123634476595,2.889787433389694,27,374.35031575806073,677.6206577021172,7094.298461061844,3860.241198710542,57589.67338810486,8076.542129330265,28.552066185991674,58153.25454104387,82.01674110895934
66.897217,49.996717,2014-09-21 12:23:00,4.149739936916791,9.571490869592175,0.17813689714553335,15,232.32420360281668,584.4207276477264,10431.523455633278,3912.0146574647106,54683.82349920326,11140.93982954966,20.556976326594366,55807.17778904126,78.48451648807325
66.89756700000001,49.99755,2014-09-21 12:55:00,1.1208232481170566,14.94794995293961,-0.7610132519194309,9,232.3251184758923,603.758144960315,10428.314183734183,3917.4746287590747,54683.0632017383,11139.85386715834,20.589066493680082,55806.21600957144,78.48545316208741
66.8986,49.998683,2014-09-21 13:11:00,0.0,0.0,0.0,0,,,10426.696712076473,3902.7000564277587,54684.244132566135,11133.151937167999,20.520814430153933,55806.03577039101,78.492437543396
66.8983,49.997133000000005,2014-09-21 13:43:00,0.0,0.0,0.0,0,,,10426.866549300876,3902.5822867263046,54684.04074574213,11133.269714760325,20.51994041071862,55805.859968497796,78.49227739367355
66.8976,49.997383,2014-09-21 14:00:00,0.0,0.0,0.0,0,,,10427.183462420113,3902.5209966802595,54683.82659440384,11133.545036891788,20.5190733233908,55805.70504971088,78.49195653853651
66.89751700000001,49.997467,2014-09-21 14:17:00,0.0,0.0,0.0,0,,,10427.219915199632,3902.5167343383687,54683.80485476962,11133.577682925054,20.51898702488191,55805.69026018989,78.49191924164042
66.895483,50.00525,2014-09-21 14:31:00,-0.5789280751537523,-3.972682431470287,-1.149955325367437,12,807.8666393314106,912.701668684244,10427.41266384697,3898.7579118441718,54682.50704827509,11132.441246973805,20.50052098553427,55804.19182464682,78.4927967553963
66.89058299999999,50.0408,2014-09-21 15:03:00,-0.6174282370932216,-4.0745338210059066,-1.145957073949831,12,806.4273086448894,911.6707484025945,10428.873824549528,3900.151700381731,54683.26176284821,11134.298026115737,20.504605769971025,55805.30180510219,78.49108328323497
66.890167,50.047867,2014-09-21 15:19:00,-0.6388450098018019,-4.132609116347649,-1.1437695812351485,12,806.1308282536886,911.443524443465,10428.891879258399,3900.459111194451,54683.59715881235,11134.42262119422,20.506054886774518,55805.655316774406,78.49102663846193
66.89015,50.0476,2014-09-21 15:35:00,-0.6617533792142398,-4.195271364031602,-1.1414559166110425,12,806.1426368198935,911.453419803588,10428.882446436306,3900.3791478577896,54683.575983681796,11134.38577464564,20.505686485226196,55805.627215736335,78.491059370561
66.890183,50.0478,2014-09-21 16:07:00,-2.0525182190635163,-5.480151059953237,-1.2289226483989735,27,216.06854370762778,731.1765619566601,10427.472125833241,3899.10935846791,54683.51632329324,11132.62002963908,20.50210803257233,55805.21647842789,78.49282360627329
66.980783,49.961467,2014-09-21 16:23:00,-2.085110969748025,-5.556110767957943,-1.2332598986266896,27,213.3292336712383,730.055640674224,10386.72973981578,3904.2800376310383,54707.21605476965,11096.28574344667,20.600797484607384,55821.206057944175,78.53422084829212
66.960383,49.847017,2014-09-22 05:52:00,-17.234436142734086,0.03346410335130379,6.263287498830027,18,138.51738384600444,641.0723392103962,10383.221952743219,3901.884395762439,54699.83464268075,11092.159391111503,20.59558959212102,55813.15176456567,78.53686600508264
66.96045,49.846967,2014-09-22 06:08:00,-23.075494083943866,5.754691321835665,6.365866977487513,27,138.52450832256878,748.012058289324,10377.35007181883,3907.6110433222007,54699.96859046725,11088.679749139295,20.633961087344264,55812.591611365584,78.54039419073203
66.960367,49.84695,2014-09-22 06:24:00,-22.31101791783563,5.231421754894179,6.254076461758943,27,138.51787739199665,748.013153451884,10378.154165943282,3907.07741010268,54699.82781406605,11089.244238478137,20.629916726926,55812.56579542903,78.53979753996504
66.960383,49.84735,2014-09-22 06:40:00,-21.45070912123595,4.606731603759541,6.148371638727027,27,138.50812556615494,748.01324253921,10378.99959881517,3906.473059007823,54699.75449293661,11089.822560932134,20.62545559701108,55812.60884442241,78.53920073044564
66.9604,49.84685,2014-09-22 07:13:00,-19.260714427257692,2.8857596699487416,5.9522120917749515,27,138.52348215785352,748.0126372940508,10381.18973221241,3904.73093406575,54699.52147355407,11091.258897151502,20.613047478026065,55812.66588651222,78.53770809598717
67.096717,49.71275,2014-09-22 08:02:00,-15.252019882099725,-0.41696574154672594,5.67918200165384,27,153.9911207119321,746.160209133165,10320.514546008553,3912.091431035929,54728.925959212625,11037.095626076585,20.759700430962585,55830.751530927264,78.59818073531645
66.684717,47.120217,2014-09-30 06:35:00,-22.045925795582562,7.392024084822786,11.95145503129258,27,465.75638286191855,733.5177391478219,10583.292956934592,3845.9931492754004,54370.60958066313,11260.450839845385,19.97126170846073,55524.41750517939,78.29915233705412
66.529533,46.696433,2014-09-30 06:51:00,-20.703409930034912,6.981553382394159,11.851080688146858,27,480.5432800681372,735.5953020894368,10675.257301727104,3826.7824303834623,54292.1436384902,11340.431306946371,19.721342729339476,55463.88232976502,78.20180846048851
66.378733,46.267167,2014-09-30 07:07:00,-18.92771704594043,6.610866582236466,11.612094482156301,27,496.75191863253355,738.1516648137656,10766.712878536811,3805.7316780298024,54219.99008215787,11419.531505889809,19.467076018077872,55409.50301458503,78.10648830935658
66.230733,45.813016999999995,2014-09-30 07:23:00,-15.271289376774899,5.618636514013411,10.66629823530918,30,515.0851985228783,780.6226800634281,10863.856606175312,3785.6395318851705,54153.34584495243,11504.540278729557,19.211496604522576,55361.894053833974,78.00618395176448
65.7706,44.65975,2014-09-30 08:04:00,-7.852076871713085,4.548718087187088,9.201684919253111,30,510.1878866062145,783.8386337350153,11206.383715143724,3784.1373656174355,53978.14039076659,11828.048510760365,18.65863951388086,55258.866904943025,77.64031996077418
65.28735,43.495867,2014-09-30 08:46:00,-0.6241592947748469,3.4209966079641214,7.705081943300619,30,464.8487384241157,791.0446113821333,11607.830790505086,3816.900052252659,53633.06893017162,12219.266003728877,18.201957593882742,55007.42263129972,77.16533186536509
64.12995,41.3145,2014-09-30 10:10:00,7.900672307485628,-0.006819509796905376,6.352064037947894,27,412.562169725668,776.7554422629141,12244.35797089771,3585.2306353777394,52928.75215999382,12758.455268108964,16.320386844106118,54444.75168500989,76.44741715281512
63.896432999999995,40.957017,2014-09-30 10:26:00,7.878767926783168,-0.1817540938802455,6.254831037985926,27,411.56551347983583,782.1214607459019,12394.839976511561,3590.5109659478126,52828.16665466396,12904.411146577771,16.155133176070002,54381.421635820356,76.27308681301288
63.317133,40.313266999999996,2014-09-30 11:04:00,8.07857456526274,-0.7726617132634777,5.217235734362108,30,412.2969279097541,828.7180688222048,12717.423421559184,3623.357886880534,52477.04563705662,13223.523768634495,15.902935841743897,54117.482384654264,75.85666666490461
63.04943299999999,40.012267,2014-09-30 11:21:00,16.87865393834478,-1.15316921580391,2.5100138337341837,18,389.384096838001,753.4921612642219,12828.299192233324,3602.619573383538,52287.82306417636,13324.568584234925,15.686535147250908,53958.87849785792,75.70352966957866
