Latitude,Longitude,DateTime,N_res,E_res,C_res,TotalPoints,Minimum_Distance,Average_Distance,N,E,C,H,D,F,I
38.1,23.9,2015-03-07 00:00:00,-12.213857200226247,14.963034035296959,2.8739564133264164,7,445.5370270981368,892.7678031197082,26445.559459274777,1971.2029571739074,37553.86283286962,26518.92260655415,4.262838125034715,45973.31693365615,54.77190605097366
38.1,23.9,2015-03-07 00:01:00,-12.21379257548205,14.963882638461385,2.8747170603103367,7,445.5370270981368,892.7678031197082,26445.55952637802,1971.203805777072,37553.86359330196,26518.92273655009,4.26283994264569,45973.31762981049,54.7719064653051
38.1,23.9,2015-03-07 00:02:00,-12.213727082450806,14.964724553026373,2.8754702748579204,7,445.5370270981368,892.7678031197082,26445.55959432533,1971.2046476916369,37553.86434629907,26518.922866890607,4.262841745709935,45973.31832009004,54.77190687394056
38.1,23.9,2015-03-07 00:03:00,-12.21366073995856,14.965559819642927,2.8762161246482187,7,445.5370270981368,892.7678031197082,26445.559663098084,1971.2054829582535,37553.86509192871,26518.92299756016,4.262843534318025,45973.319004541176,54.77190727694458
38.1,23.9,2015-03-07 00:04:00,-12.213593566688617,14.966388479147241,2.8769546771281385,7,445.5370270981368,892.7678031197082,26445.559732677837,1971.2063116177578,37553.86583025836,26518.92312854338,4.26284530856091,45973.31968321017,54.771907674381325
38.1,23.9,2015-03-07 00:05:00,-12.21352558117651,14.967210572545376,2.8776859994967934,7,445.5370270981368,892.7678031197082,26445.559803046264,1971.2071337111558,37553.86656135529,26518.92325982505,4.262847068529884,45973.32035614318,54.77190806631464
38.1,23.9,2015-03-07 00:06:00,-12.21345680180529,14.968026140998374,2.8784101586906146,7,445.5370270981368,892.7678031197082,26445.559874185205,1971.2079492796088,37553.8672852865,26518.92339139011,4.262848814316547,45973.32102338626,54.77190845280801
38.1,23.9,2015-03-07 00:07:00,-12.213387246801046,14.968835225807728,2.879127221369166,7,445.5370270981368,892.7678031197082,26445.559946076646,1971.2087583644181,37553.8680021187,26518.923523223675,4.262850546012782,45973.32168498531,54.77190883392459
38.1,23.9,2015-03-07 00:08:00,-12.213316934228807,14.969637868401334,2.8798372539016737,7,445.5370270981368,892.7678031197082,26445.56001870274,1971.2095610070119,37553.868711918316,26518.92365531102,4.262852263710714,45973.3223409861,54.77190920972708
38.1,23.9,2015-03-07 00:09:00,-12.213245881988646,14.970434110319797,2.880540322354223,7,445.5370270981368,892.7678031197082,26445.560092045806,1971.2103572489302,37553.86941475148,26518.923787637596,4.262853967502685,45973.32299143427,54.77190958027785
38.1,23.9,2015-03-07 00:10:00,-12.213174107812108,14.971223993203155,2.8812364924776137,7,445.5370270981368,892.7678031197082,26445.560166088322,1971.2111471318137,37553.87011068401,26518.923920189034,4.262855657481228,45973.32363637526,54.771909945638846
38.1,23.9,2015-03-07 00:11:00,-12.213101629258874,14.97200755877799,2.8819258296958394,7,445.5370270981368,892.7678031197082,26445.560240812945,1971.2119306973884,37553.87079978137,26518.924052951133,4.262857333739029,45973.324275854386,54.771910305871586
38.1,23.9,2015-03-07 00:12:00,-12.213028463713666,14.972784848844878,2.882608399095185,7,445.5370270981368,892.7678031197082,26445.5603162025,1971.2127079874554,37553.87148210871,26518.924185909873,4.262858996368912,45973.324909916766,54.77191066103718
38.1,23.9,2015-03-07 00:13:00,-12.212954628383443,14.97355590526626,2.883284265413911,7,445.5370270981368,892.7678031197082,26445.56039223999,1971.2134790438768,37553.872157730824,26518.92431905142,4.262860645463802,45973.32553860735,54.771911011196295
